benzene,btx,phi,air_excess,T,P,CO,CO_std,CO2,CO2_std,NO,NO_std,NO2,NO2_std,H2O,H2O_std,NH3,NH3_std,SO2,SO2_std,HCHO,HCHO_std,HCOOH,HCOOH_std,CH4,CH4_std,C2H2,C2H2_std,C2H4,C2H4_std,C2H6,C2H6_std,C3H6,C3H6_std,"1,3- C4H6","1,3- C4H6_std",iso-C4H8,iso-C4H8_std,N2O,N2O_std,C7H8,C7H8_std,CH3CHO,CH3CHO_std,CH3COCH3,CH3COCH3_std,CH3COOH,CH3COOH_std,CH3OH,CH3OH_std,DME,DME_std,O2,O2_std,CO_range,CO2_range,NO_range,,nan_std
0,,1,0,113,104,4159.333333,6.914918073,67216.66667,222.9633236,207.6666667,9.026143383,0.690533333,1.772448272,270766.6667,1851.063689,8.123666667,0.63362386,-29.01333333,8.821241344,-0.276966667,1.498294835,0.2397,0.455421832,0.349,1.331564467,-5.599,3.045024602,0.158553333,0.945004242,32.68,6.180414002,-0.567666667,1.549486352,1.102133333,0.61421437,0.52632,0.505685199,1.709,0.467106648,-15.51666667,9.519320946,25.20533333,8.119382826,2.79556,1.988398806,1.873866667,0.641163529,-0.281866667,1.18182281,-0.233533333,3.530582659,278.8333333,60.17966396,20000,200000,1000,,
0,,1.2,-16.7,113,103.1639344,24814.7541,100.9640564,52516.39344,276.4475518,12.78344262,3.130383171,1.767344262,2.115758683,243934.4262,3272.064844,67.66557377,0.847531222,-15.65622951,5.31328171,0.941634426,2.12148396,-0.196582623,0.305407293,2.584393443,1.153326361,-2.974149508,2.449046316,-0.09702459,0.75894429,30.91311475,6.331019669,-0.352029508,1.361861012,0.112419344,0.580104817,1.100862295,0.705676675,2.426721311,0.652615137,-12.06322951,6.388873309,23.3952459,7.151481059,2.31442623,1.686061658,0.102057377,0.789979451,-0.155431148,1.100992944,-4.33637377,4.518824259,8080.327869,426.7190502,100000,200000,200,,
0,,0.8,25,113,103,0.143,1.072065992,56100,265.534319,200.6,3.769637846,2.0091,2.201550491,231500,813.0294885,9.792,0.794034538,-20.478,5.298868059,-0.8387,2.451173239,-0.30915,0.428275205,1.65898,1.380358572,-4.151733333,2.159473569,0.222403333,0.664817226,28.82,5.816656387,-0.085266667,1.269974748,0.603236667,0.651711847,0.593626667,0.660942654,2.057666667,0.445920745,-8.29713,8.606281431,22.68733333,8.773387315,1.323416667,1.657188645,1.277133333,0.81096773,0.7743,1.206222684,-5.133,5.330837833,44313.33333,96.49214716,20000,200000,200,,
0,,1.05,-5,113,103,9191.25,68.8568794,61921.875,543.7870586,49.628125,3.438367495,1.79390625,2.372459328,266281.25,6672.542054,79.478125,2.226212439,-24.396875,6.537242969,-0.427040625,2.274454974,-0.299039875,0.296891719,1.37340625,1.551512193,-5.0520625,2.584644336,-0.134403125,0.670410944,30.3,5.536717267,-1.434884375,1.454651249,0.6006775,0.875929051,0.957471875,0.880943551,-0.186559375,0.487854555,-13.22625,7.257132562,24.5175,7.145712001,3.14371875,2.056786695,1.19995625,0.950935162,-0.044071875,1.127822587,-2.980809375,4.495129566,6050.3125,59.33410246,20000,200000,200,,
0,,1.1,-9,113,103,14939.70588,49.10972109,60129.41176,216.4075877,20.18529412,3.096629695,1.450176471,2.601653824,259073.5294,1132.891109,62.13088235,0.704747363,-26.70588235,5.325657876,0.817494118,1.950359303,-0.038959853,0.360070026,1.825813235,1.247993605,-6.030147059,2.252211748,-0.438182353,0.650555418,31.56617647,5.21586214,-0.715454412,1.328556402,0.615839706,0.641275157,1.146622059,0.702696497,1.085935294,0.551554107,-14.9395,7.910685637,26.05794118,7.639766636,3.93325,1.693412766,1.326975,0.838844373,0.147451471,1.3073458,-5.920264706,5.262846996,9127.352941,8.712298172,20000,200000,200,,
0,,0.91,10,113,103.1454545,-0.412849091,0.477123548,62854.54545,278.1446933,242.8545455,3.691886377,2.045127273,2.661155906,254781.8182,708.8149845,2.678363636,0.394786035,-27.66727273,5.408354209,1.745030545,2.299326854,-0.060764364,0.337082495,1.513538182,1.346789898,-5.241436364,2.998252278,-0.667490909,0.64865659,29.50363636,5.726230123,0.366567818,1.361512783,1.215427273,0.611203989,0.746965455,0.667874924,2.258363636,0.436031998,-18.99192909,9.491346624,24.39618182,7.740272022,2.389081818,1.753060541,1.16528,0.861690507,1.124969091,1.192339881,-4.783272727,4.922563696,24618.18182,243.8911692,200,200000,200,,
1.12,,1.05,-5,113,102,10345,1766.985805,67551.92308,226.8316039,73.74230769,3.906198517,2.181715385,2.267355747,248846.1538,2061.05464,59.84615385,1.073866354,-19.41653846,5.333513345,0.371975,2.271837077,-0.224881538,0.303446082,1.175075,1.328170847,-3.174653846,2.332561764,-0.621973077,0.75400634,29.54230769,4.684423524,-0.799878846,1.509276639,0.52801,0.649697254,1.075869231,0.62760521,-0.106846154,0.546612533,-17.87326923,8.697337327,21.71982115,7.711143394,3.083980769,1.876092515,0.785986538,0.896997705,0.051165385,1.380035619,-4.129480769,3.658431244,7637.884615,243.7756133,100000,200000,200,,
1.12,,0.91,10,113,103,-0.55496,0.363764516,70600,539.2896562,276.12,3.3950945,2.29312,2.06182432,241040,789.5146188,2.7352,0.449927031,-22.268,3.680434757,0.4256,2.299915868,0.0706108,0.393190413,1.505,1.323009259,-3.441776,2.89872681,0.21724,0.558039595,31.64,6.584514662,0.13868,1.411730217,1.01416,0.518441067,0.34544,0.757319675,2.6212,0.442834807,-14.4716,6.801218445,21.0936,6.020090586,1.96792,2.096230683,1.66116,0.822158981,0.76508,1.265475402,-2.49128,5.317887696,23876,568.096236,200,200000,1000,,
1.12,,1.1,-9,113,103,17656.71642,730.0682594,67405.97015,254.8067804,22.69850746,2.79825362,1.713567164,1.946820313,245119.403,1497.088785,55.81641791,0.947747153,-23.12686567,5.352944017,-1.169358209,2.004391787,-0.205946119,0.378630115,1.905188209,1.400939498,-5.449701493,2.424770672,-0.313977612,0.775733885,30.84179104,5.322957775,-1.07728806,1.311968719,0.625356119,0.681278445,1.040761194,0.737790444,1.13199403,0.58475809,-12.46063881,7.867405488,24.62447761,7.98648902,3.347462687,1.673224201,1.144780597,0.898875987,-0.332565672,1.191903922,-3.128985075,4.83296705,9413.58209,9.127582348,20000,200000,200,,
1.12,,1,0,113,103,3037.666667,1249.744878,73840,197.6128727,211.3666667,6.686608592,1.154786667,2.196273654,260700,1898.259685,31.83,1.649684099,-24.1,5.981326875,0.105256667,2.288463481,-0.160796667,0.290917078,0.829466667,1.390211025,-5.131333333,2.647991299,0.156233333,0.840214165,35.46666667,7.169442374,-0.832523333,1.516803296,0.528093333,0.722169906,0.684325667,0.751355524,1.541033333,0.736239068,-13.91453333,8.053869645,18.69233333,6.480768778,2.484903333,1.959399356,1.789633333,0.963285461,0.319366667,1.289308185,-4.537345667,5.255375423,668.6333333,84.0110902,20000,200000,200,,
